Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0001197,-20.1621368,175.5234048
199.9955423,-20.19685545,175.3931632
300.0034826,-20.16894254,175.5940192
399.9863537,-20.17733309,175.3989555
499.9940118,-20.16361731,175.4058694
600.0092023,-20.15633544,175.4940814
700.009361,-20.14387667,175.4306001
800.0011257,-20.14145916,175.4843481
900.0396702,-20.13343405,175.6480346
999.9984883,-20.12622261,175.5721349
2000.006806,-20.06387517,175.9729405
2999.921302,-20.02242247,174.8203741
3999.920115,-20.00858824,174.8756411
4999.830038,-20.00379995,175.1214944
6000.010376,-20.00243354,175.2719068
7000.095541,-19.99685472,175.1118896
8000.532991,-19.98136138,174.3840285
8999.840945,-19.99969814,174.552053
10000.22192,-20.00461747,175.0731252
19999.68099,-20.01051254,174.6265473
30001.31338,-19.98584035,174.2232001
39996.64103,-19.97042052,174.2035824
50001.95175,-19.96110838,173.8907299
60003.04673,-19.94307381,173.0372079
70000.41535,-19.92704898,172.0770736
79999.13555,-19.92604806,172.3219023
90004.63678,-19.90348803,171.6605627
99994.31298,-19.88360823,170.8863624
150019.0876,-19.73884625,166.7725768
199991.4729,-19.50786528,165.2105607
249977.5179,-19.28263864,161.8139252
300012.497,-19.00525023,157.5121526
350029.6717,-18.64721297,152.2547656
400001.5001,-18.23786556,146.4658237
450062.4523,-17.93487878,144.7553336
499824.1461,-18.00563697,139.2193077
550266.9223,-16.98772726,132.0104501
600159.8768,-16.69141801,125.1257641
649978.3223,-16.40613407,114.9219897
699935.9471,-16.17732248,103.7128123
750216.7136,-16.20752137,92.32192119
800032.4448,-16.39259615,83.85744062
849578.2741,-16.97123591,74.27497105
899703.1284,-17.90533118,62.39791951
950201.3775,-19.16688787,51.05931814
999923.5393,-20.06048144,47.50670899
1100419.099,-21.17309186,36.57468975
1199669.437,-22.57882038,28.78281599
1300012.333,-25.09326255,25.34091008
1400292.142,-25.93291009,25.31975145
1499985.768,-26.47299159,25.37814919
