Freq.	V(vo)
1.68955458709639e+002	(-1.61988474938503e-002dB,-3.50114060509153e+000°)
1.69344551725378e+002	(-1.62734382490385e-002dB,-3.50918718363349e+000°)
1.69734540796066e+002	(-1.63483719876180e-002dB,-3.51725218024249e+000°)
1.70125427985256e+002	(-1.64236502822432e-002dB,-3.52533563655734e+000°)
1.70517215361255e+002	(-1.64992747127151e-002dB,-3.53343759430743e+000°)
1.70909904997133e+002	(-1.65752468660548e-002dB,-3.54155809531286e+000°)
1.71303498970733e+002	(-1.66515683365252e-002dB,-3.54969718148465e+000°)
1.71697999364684e+002	(-1.67282407256243e-002dB,-3.55785489482487e+000°)
1.72093408266411e+002	(-1.68052656421760e-002dB,-3.56603127742682e+000°)
1.72489727768146e+002	(-1.68826447023320e-002dB,-3.57422637147523e+000°)
1.72886959966938e+002	(-1.69603795296097e-002dB,-3.58244021924643e+000°)
1.73285106964669e+002	(-1.70384717549230e-002dB,-3.59067286310847e+000°)
1.73684170868058e+002	(-1.71169230166151e-002dB,-3.59892434552137e+000°)
1.74084153788676e+002	(-1.71957349605068e-002dB,-3.60719470903723e+000°)
1.74485057842959e+002	(-1.72749092399048e-002dB,-3.61548399630045e+000°)
1.74886885152216e+002	(-1.73544475156533e-002dB,-3.62379225004785e+000°)
1.75289637842639e+002	(-1.74343514561652e-002dB,-3.63211951310892e+000°)
1.75693318045320e+002	(-1.75146227374571e-002dB,-3.64046582840591e+000°)
1.76097927896256e+002	(-1.75952630431753e-002dB,-3.64883123895406e+000°)
1.76503469536365e+002	(-1.76762740646378e-002dB,-3.65721578786177e+000°)
1.76909945111495e+002	(-1.77576575008646e-002dB,-3.66561951833073e+000°)
1.77317356772434e+002	(-1.78394150586154e-002dB,-3.67404247365615e+000°)
1.77725706674925e+002	(-1.79215484524317e-002dB,-3.68248469722690e+000°)
1.78134996979675e+002	(-1.80040594046572e-002dB,-3.69094623252570e+000°)
1.78545229852367e+002	(-1.80869496454741e-002dB,-3.69942712312929e+000°)
1.78956407463671e+002	(-1.81702209129446e-002dB,-3.70792741270859e+000°)
1.79368531989257e+002	(-1.82538749530551e-002dB,-3.71644714502890e+000°)
1.79781605609803e+002	(-1.83379135197289e-002dB,-3.72498636395007e+000°)
1.80195630511013e+002	(-1.84223383748931e-002dB,-3.73354511342664e+000°)
1.80610608883620e+002	(-1.85071512884775e-002dB,-3.74212343750808e+000°)
1.81026542923406e+002	(-1.85923540384714e-002dB,-3.75072138033891e+000°)
1.81443434831207e+002	(-1.86779484109706e-002dB,-3.75933898615890e+000°)
1.81861286812928e+002	(-1.87639362001928e-002dB,-3.76797629930322e+000°)
1.82280101079556e+002	(-1.88503192085194e-002dB,-3.77663336420267e+000°)
1.82699879847166e+002	(-1.89370992465433e-002dB,-3.78531022538380e+000°)
1.83120625336941e+002	(-1.90242781330942e-002dB,-3.79400692746910e+000°)
1.83542339775175e+002	(-1.91118576952716e-002dB,-3.80272351517720e+000°)
1.83965025393291e+002	(-1.91998397685013e-002dB,-3.81146003332302e+000°)
1.84388684427852e+002	(-1.92882261965541e-002dB,-3.82021652681797e+000°)
1.84813319120570e+002	(-1.93770188315856e-002dB,-3.82899304067008e+000°)
1.85238931718319e+002	(-1.94662195341945e-002dB,-3.83778961998423e+000°)
1.85665524473149e+002	(-1.95558301734241e-002dB,-3.84660630996231e+000°)
1.86093099642295e+002	(-1.96458526268348e-002dB,-3.85544315590338e+000°)
1.86521659488192e+002	(-1.97362887805193e-002dB,-3.86430020320385e+000°)
1.86951206278483e+002	(-1.98271405291510e-002dB,-3.87317749735768e+000°)
1.87381742286034e+002	(-1.99184097760282e-002dB,-3.88207508395653e+000°)
1.87813269788947e+002	(-2.00100984330944e-002dB,-3.89099300868996e+000°)
1.88245791070568e+002	(-2.01022084209960e-002dB,-3.89993131734557e+000°)
1.88679308419502e+002	(-2.01947416691069e-002dB,-3.90889005580922e+000°)
1.89113824129626e+002	(-2.02877001155791e-002dB,-3.91786927006520e+000°)
1.89549340500097e+002	(-2.03810857073805e-002dB,-3.92686900619637e+000°)
1.89985859835369e+002	(-2.04749004003223e-002dB,-3.93588931038437e+000°)
1.90423384445201e+002	(-2.05691461591070e-002dB,-3.94493022890981e+000°)
1.90861916644675e+002	(-2.06638249573786e-002dB,-3.95399180815240e+000°)
1.91301458754199e+002	(-2.07589387777440e-002dB,-3.96307409459118e+000°)
1.91742013099530e+002	(-2.08544896118233e-002dB,-3.97217713480464e+000°)
1.92183582011778e+002	(-2.09504794602935e-002dB,-3.98130097547098e+000°)
1.92626167827421e+002	(-2.10469103329209e-002dB,-3.99044566336819e+000°)
1.93069772888321e+002	(-2.11437842485936e-002dB,-3.99961124537430e+000°)
1.93514399541729e+002	(-2.12411032353968e-002dB,-4.00879776846753e+000°)
1.93960050140305e+002	(-2.13388693306176e-002dB,-4.01800527972647e+000°)
1.94406727042124e+002	(-2.14370845807937e-002dB,-4.02723382633025e+000°)
1.94854432610695e+002	(-2.15357510417644e-002dB,-4.03648345555876e+000°)
1.95303169214967e+002	(-2.16348707787319e-002dB,-4.04575421479275e+000°)
1.95752939229345e+002	(-2.17344458662383e-002dB,-4.05504615151408e+000°)
1.96203745033704e+002	(-2.18344783882787e-002dB,-4.06435931330587e+000°)
1.96655589013399e+002	(-2.19349704383034e-002dB,-4.07369374785268e+000°)
1.97108473559275e+002	(-2.20359241192730e-002dB,-4.08304950294067e+000°)
1.97562401067688e+002	(-2.21373415436997e-002dB,-4.09242662645782e+000°)
1.98017373940510e+002	(-2.22392248336768e-002dB,-4.10182516639407e+000°)
1.98473394585144e+002	(-2.23415761209512e-002dB,-4.11124517084150e+000°)
1.98930465414538e+002	(-2.24443975469347e-002dB,-4.12068668799456e+000°)
1.99388588847196e+002	(-2.25476912627733e-002dB,-4.13014976615017e+000°)
1.99847767307193e+002	(-2.26514594293617e-002dB,-4.13963445370795e+000°)
2.00308003224187e+002	(-2.27557042174231e-002dB,-4.14914079917040e+000°)
2.00769299033427e+002	(-2.28604278075149e-002dB,-4.15866885114303e+000°)
2.01231657175776e+002	(-2.29656323901092e-002dB,-4.16821865833460e+000°)
2.01695080097714e+002	(-2.30713201656056e-002dB,-4.17779026955727e+000°)
2.02159570251357e+002	(-2.31774933443953e-002dB,-4.18738373372676e+000°)
2.02625130094468e+002	(-2.32841541469004e-002dB,-4.19699909986257e+000°)
2.03091762090469e+002	(-2.33913048036109e-002dB,-4.20663641708813e+000°)
2.03559468708456e+002	(-2.34989475551470e-002dB,-4.21629573463096e+000°)
2.04028252423210e+002	(-2.36070846522865e-002dB,-4.22597710182291e+000°)
2.04498115715213e+002	(-2.37157183560227e-002dB,-4.23568056810027e+000°)
2.04969061070659e+002	(-2.38248509375953e-002dB,-4.24540618300400e+000°)
2.05441090981466e+002	(-2.39344846785541e-002dB,-4.25515399617989e+000°)
2.05914207945293e+002	(-2.40446218707979e-002dB,-4.26492405737871e+000°)
2.06388414465549e+002	(-2.41552648166102e-002dB,-4.27471641645644e+000°)
2.06863713051408e+002	(-2.42664158287212e-002dB,-4.28453112337441e+000°)
2.07340106217825e+002	(-2.43780772303571e-002dB,-4.29436822819951e+000°)
2.07817596485544e+002	(-2.44902513552470e-002dB,-4.30422778110433e+000°)
2.08296186381116e+002	(-2.46029405477285e-002dB,-4.31410983236736e+000°)
2.08775878436909e+002	(-2.47161471627632e-002dB,-4.32401443237318e+000°)
2.09256675191124e+002	(-2.48298735659698e-002dB,-4.33394163161261e+000°)
2.09738579187807e+002	(-2.49441221337151e-002dB,-4.34389148068292e+000°)
2.10221592976863e+002	(-2.50588952531046e-002dB,-4.35386403028796e+000°)
2.10705719114068e+002	(-2.51741953220917e-002dB,-4.36385933123842e+000°)
2.11190960161085e+002	(-2.52900247494852e-002dB,-4.37387743445190e+000°)
2.11677318685476e+002	(-2.54063859549947e-002dB,-4.38391839095319e+000°)
2.12164797260716e+002	(-2.55232813693080e-002dB,-4.39398225187439e+000°)
2.12653398466207e+002	(-2.56407134341219e-002dB,-4.40406906845508e+000°)
2.13143124887290e+002	(-2.57586846021933e-002dB,-4.41417889204256e+000°)
2.13633979115260e+002	(-2.58771973373804e-002dB,-4.42431177409195e+000°)
2.14125963747382e+002	(-2.59962541147203e-002dB,-4.43446776616643e+000°)
2.14619081386899e+002	(-2.61158574204420e-002dB,-4.44464691993739e+000°)
2.15113334643051e+002	(-2.62360097520364e-002dB,-4.45484928718459e+000°)
2.15608726131087e+002	(-2.63567136183061e-002dB,-4.46507491979637e+000°)
2.16105258472277e+002	(-2.64779715394082e-002dB,-4.47532386976984e+000°)
2.16602934293929e+002	(-2.65997860469227e-002dB,-4.48559618921100e+000°)
2.17101756229402e+002	(-2.67221596838681e-002dB,-4.49589193033496e+000°)
2.17601726918119e+002	(-2.68450950047914e-002dB,-4.50621114546611e+000°)
2.18102849005580e+002	(-2.69685945757952e-002dB,-4.51655388703830e+000°)
2.18605125143379e+002	(-2.70926609745936e-002dB,-4.52692020759501e+000°)
2.19108557989217e+002	(-2.72172967905718e-002dB,-4.53731015978952e+000°)
2.19613150206913e+002	(-2.73425046248244e-002dB,-4.54772379638512e+000°)
2.20118904466423e+002	(-2.74682870902273e-002dB,-4.55816117025522e+000°)
2.20625823443851e+002	(-2.75946468114553e-002dB,-4.56862233438361e+000°)
2.21133909821464e+002	(-2.77215864250789e-002dB,-4.57910734186459e+000°)
2.21643166287704e+002	(-2.78491085795839e-002dB,-4.58961624590313e+000°)
2.22153595537208e+002	(-2.79772159354393e-002dB,-4.60014909981510e+000°)
