time	V(vo)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-009	9.998606e-001
1.438669120050922e-007	9.609654e-001
2.867338240101844e-007	9.234622e-001
4.296007360152766e-007	8.873510e-001
5.724676480203687e-007	8.526318e-001
7.153345600254608e-007	8.193047e-001
8.582014720305531e-007	7.873696e-001
1.001068384035645e-006	7.568265e-001
1.002068384035645e-006	7.566162e-001
1.148211241178513e-006	7.266211e-001
1.294354098321381e-006	6.977438e-001
1.440496955464250e-006	6.699845e-001
1.586639812607118e-006	6.433432e-001
1.732782669749986e-006	6.178198e-001
1.878925526892854e-006	5.934144e-001
2.025068384035722e-006	5.701269e-001
2.026068384035722e-006	5.699703e-001
2.172211241178590e-006	5.476439e-001
2.318354098321458e-006	5.261724e-001
2.464496955464327e-006	5.055560e-001
2.610639812607195e-006	4.857946e-001
2.756782669750063e-006	4.668882e-001
2.902925526892931e-006	4.488368e-001
3.049068384035799e-006	4.316403e-001
3.050068384035799e-006	4.315247e-001
3.196211241178652e-006	4.150631e-001
3.342354098321504e-006	3.992550e-001
3.488496955464357e-006	3.841004e-001
3.634639812607209e-006	3.695992e-001
3.780782669750062e-006	3.557516e-001
3.926925526892914e-006	3.425575e-001
4.073068384035767e-006	3.300169e-001
4.074068384035766e-006	3.299327e-001
4.220211241178573e-006	3.179535e-001
4.366354098321379e-006	3.064734e-001
4.512496955464185e-006	2.954924e-001
4.658639812606991e-006	2.850105e-001
4.804782669749798e-006	2.750278e-001
4.950925526892604e-006	2.655442e-001
5.097068384035410e-006	2.565597e-001
5.098068384035409e-006	2.564994e-001
5.155639812606818e-006	2.530655e-001
5.213211241178227e-006	2.496957e-001
5.270782669749635e-006	2.463900e-001
5.328354098321044e-006	2.431483e-001
5.385925526892452e-006	2.399707e-001
5.443496955463860e-006	2.368571e-001
5.501068384035269e-006	2.338076e-001
5.589639812606667e-006	2.292384e-001
5.678211241178065e-006	2.248017e-001
5.766782669749463e-006	2.204974e-001
5.855354098320860e-006	2.163257e-001
5.943925526892257e-006	2.122863e-001
6.032496955463655e-006	2.083795e-001
6.121068384035053e-006	2.046051e-001
6.122068384035053e-006	2.045631e-001
6.268211241177859e-006	1.986189e-001
6.414354098320666e-006	1.929649e-001
6.560496955463471e-006	1.876011e-001
6.706639812606278e-006	1.825275e-001
6.852782669749084e-006	1.777441e-001
6.998925526891891e-006	1.732509e-001
7.145068384034696e-006	1.690479e-001
7.146068384034696e-006	1.690199e-001
7.292211241177568e-006	1.650656e-001
7.438354098320439e-006	1.613322e-001
7.584496955463310e-006	1.578196e-001
7.730639812606183e-006	1.545278e-001
7.876782669749053e-006	1.514567e-001
8.022925526891924e-006	1.486065e-001
8.169068384034796e-006	1.459770e-001
8.170068384034797e-006	1.459595e-001
8.316211241177726e-006	1.435191e-001
8.462354098320657e-006	1.412463e-001
8.608496955463586e-006	1.391411e-001
8.754639812606517e-006	1.372035e-001
8.900782669749446e-006	1.354335e-001
9.046925526892377e-006	1.338312e-001
9.193068384035307e-006	1.323965e-001
9.194068384035307e-006	1.323870e-001
9.340211241178236e-006	1.310956e-001
9.486354098321167e-006	1.299311e-001
9.632496955464097e-006	1.288934e-001
9.778639812607028e-006	1.279827e-001
9.924782669749957e-006	1.271988e-001
1.007092552689289e-005	1.265419e-001
1.021706838403582e-005	1.260118e-001
1.021806838403582e-005	1.260085e-001
1.036421124117875e-005	1.255867e-001
1.051035409832168e-005	1.252606e-001
1.065649695546461e-005	1.250302e-001
1.080263981260754e-005	1.248956e-001
1.094878266975047e-005	1.248567e-001
1.109492552689340e-005	1.249135e-001
1.124106838403633e-005	1.250660e-001
1.124206838403633e-005	1.250673e-001
1.138821124117926e-005	1.253013e-001
1.153435409832219e-005	1.256071e-001
1.168049695546512e-005	1.259848e-001
1.182663981260805e-005	1.264343e-001
1.197278266975098e-005	1.269557e-001
1.211892552689391e-005	1.275489e-001
1.226506838403684e-005	1.282140e-001
1.226606838403684e-005	1.282187e-001
1.241221124117977e-005	1.289447e-001
1.255835409832270e-005	1.297243e-001
1.270449695546563e-005	1.305575e-001
1.285063981260856e-005	1.314443e-001
1.299678266975149e-005	1.323847e-001
