Freq.	V(vout)
1.00000000000000e+002	(-2.00001097230568e+001dB,1.79992946419066e+002°)
1.00230523807790e+002	(-2.00001097230779e+001dB,1.79992930158882e+002°)
1.00461579027840e+002	(-2.00001097230990e+001dB,1.79992913861215e+002°)
1.00693166885180e+002	(-2.00001097231203e+001dB,1.79992897525978e+002°)
1.00925288607668e+002	(-2.00001097231416e+001dB,1.79992881153085e+002°)
1.01157945425990e+002	(-2.00001097231631e+001dB,1.79992864742447e+002°)
1.01391138573668e+002	(-2.00001097231846e+001dB,1.79992848293980e+002°)
1.01624869287070e+002	(-2.00001097232063e+001dB,1.79992831807595e+002°)
1.01859138805412e+002	(-2.00001097232280e+001dB,1.79992815283205e+002°)
1.02093948370768e+002	(-2.00001097232499e+001dB,1.79992798720722e+002°)
1.02329299228075e+002	(-2.00001097232718e+001dB,1.79992782120059e+002°)
1.02565192625141e+002	(-2.00001097232939e+001dB,1.79992765481127e+002°)
1.02801629812647e+002	(-2.00001097233160e+001dB,1.79992748803839e+002°)
1.03038612044162e+002	(-2.00001097233383e+001dB,1.79992732088105e+002°)
1.03276140576140e+002	(-2.00001097233606e+001dB,1.79992715333838e+002°)
1.03514216667934e+002	(-2.00001097233831e+001dB,1.79992698540948e+002°)
1.03752841581801e+002	(-2.00001097234056e+001dB,1.79992681709346e+002°)
1.03992016582906e+002	(-2.00001097234283e+001dB,1.79992664838944e+002°)
1.04231742939330e+002	(-2.00001097234511e+001dB,1.79992647929651e+002°)
1.04472021922080e+002	(-2.00001097234739e+001dB,1.79992630981379e+002°)
1.04712854805090e+002	(-2.00001097234969e+001dB,1.79992613994036e+002°)
1.04954242865232e+002	(-2.00001097235200e+001dB,1.79992596967534e+002°)
1.05196187382322e+002	(-2.00001097235432e+001dB,1.79992579901782e+002°)
1.05438689639126e+002	(-2.00001097235665e+001dB,1.79992562796689e+002°)
1.05681750921366e+002	(-2.00001097235899e+001dB,1.79992545652164e+002°)
1.05925372517729e+002	(-2.00001097236134e+001dB,1.79992528468118e+002°)
1.06169555719872e+002	(-2.00001097236370e+001dB,1.79992511244458e+002°)
1.06414301822431e+002	(-2.00001097236608e+001dB,1.79992493981093e+002°)
1.06659612123026e+002	(-2.00001097236846e+001dB,1.79992476677933e+002°)
1.06905487922266e+002	(-2.00001097237086e+001dB,1.79992459334884e+002°)
1.07151930523760e+002	(-2.00001097237326e+001dB,1.79992441951856e+002°)
1.07398941234124e+002	(-2.00001097237568e+001dB,1.79992424528755e+002°)
1.07646521362983e+002	(-2.00001097237811e+001dB,1.79992407065490e+002°)
1.07894672222983e+002	(-2.00001097238055e+001dB,1.79992389561969e+002°)
1.08143395129794e+002	(-2.00001097238300e+001dB,1.79992372018097e+002°)
1.08392691402120e+002	(-2.00001097238546e+001dB,1.79992354433783e+002°)
1.08642562361706e+002	(-2.00001097238794e+001dB,1.79992336808932e+002°)
1.08893009333343e+002	(-2.00001097239042e+001dB,1.79992319143452e+002°)
1.09144033644875e+002	(-2.00001097239292e+001dB,1.79992301437249e+002°)
1.09395636627209e+002	(-2.00001097239542e+001dB,1.79992283690229e+002°)
1.09647819614318e+002	(-2.00001097239794e+001dB,1.79992265902298e+002°)
1.09900583943252e+002	(-2.00001097240047e+001dB,1.79992248073361e+002°)
1.10153930954141e+002	(-2.00001097240302e+001dB,1.79992230203325e+002°)
1.10407861990207e+002	(-2.00001097240557e+001dB,1.79992212292093e+002°)
1.10662378397766e+002	(-2.00001097240814e+001dB,1.79992194339573e+002°)
1.10917481526240e+002	(-2.00001097241072e+001dB,1.79992176345667e+002°)
1.11173172728159e+002	(-2.00001097241331e+001dB,1.79992158310281e+002°)
1.11429453359173e+002	(-2.00001097241591e+001dB,1.79992140233319e+002°)
1.11686324778056e+002	(-2.00001097241853e+001dB,1.79992122114686e+002°)
1.11943788346715e+002	(-2.00001097242115e+001dB,1.79992103954284e+002°)
1.12201845430196e+002	(-2.00001097242379e+001dB,1.79992085752019e+002°)
1.12460497396692e+002	(-2.00001097242644e+001dB,1.79992067507793e+002°)
1.12719745617551e+002	(-2.00001097242910e+001dB,1.79992049221510e+002°)
1.12979591467279e+002	(-2.00001097243178e+001dB,1.79992030893073e+002°)
1.13240036323555e+002	(-2.00001097243447e+001dB,1.79992012522384e+002°)
1.13501081567231e+002	(-2.00001097243716e+001dB,1.79991994109346e+002°)
1.13762728582343e+002	(-2.00001097243988e+001dB,1.79991975653862e+002°)
1.14024978756117e+002	(-2.00001097244260e+001dB,1.79991957155834e+002°)
1.14287833478977e+002	(-2.00001097244534e+001dB,1.79991938615163e+002°)
1.14551294144553e+002	(-2.00001097244809e+001dB,1.79991920031752e+002°)
1.14815362149688e+002	(-2.00001097245085e+001dB,1.79991901405501e+002°)
1.15080038894443e+002	(-2.00001097245363e+001dB,1.79991882736313e+002°)
1.15345325782109e+002	(-2.00001097245642e+001dB,1.79991864024087e+002°)
1.15611224219209e+002	(-2.00001097245922e+001dB,1.79991845268725e+002°)
1.15877735615512e+002	(-2.00001097246203e+001dB,1.79991826470128e+002°)
1.16144861384034e+002	(-2.00001097246486e+001dB,1.79991807628196e+002°)
1.16412602941049e+002	(-2.00001097246770e+001dB,1.79991788742828e+002°)
1.16680961706096e+002	(-2.00001097247055e+001dB,1.79991769813926e+002°)
1.16949939101987e+002	(-2.00001097247342e+001dB,1.79991750841387e+002°)
1.17219536554813e+002	(-2.00001097247630e+001dB,1.79991731825113e+002°)
1.17489755493952e+002	(-2.00001097247919e+001dB,1.79991712765001e+002°)
1.17760597352080e+002	(-2.00001097248210e+001dB,1.79991693660951e+002°)
1.18032063565172e+002	(-2.00001097248502e+001dB,1.79991674512862e+002°)
1.18304155572516e+002	(-2.00001097248795e+001dB,1.79991655320632e+002°)
1.18576874816716e+002	(-2.00001097249090e+001dB,1.79991636084159e+002°)
1.18850222743701e+002	(-2.00001097249386e+001dB,1.79991616803342e+002°)
1.19124200802737e+002	(-2.00001097249683e+001dB,1.79991597478078e+002°)
1.19398810446427e+002	(-2.00001097249982e+001dB,1.79991578108264e+002°)
1.19674053130724e+002	(-2.00001097250282e+001dB,1.79991558693798e+002°)
1.19949930314937e+002	(-2.00001097250584e+001dB,1.79991539234578e+002°)
1.20226443461741e+002	(-2.00001097250886e+001dB,1.79991519730499e+002°)
1.20503594037179e+002	(-2.00001097251191e+001dB,1.79991500181459e+002°)
1.20781383510677e+002	(-2.00001097251496e+001dB,1.79991480587353e+002°)
1.21059813355048e+002	(-2.00001097251804e+001dB,1.79991460948079e+002°)
1.21338885046497e+002	(-2.00001097252112e+001dB,1.79991441263531e+002°)
1.21618600064636e+002	(-2.00001097252422e+001dB,1.79991421533606e+002°)
1.21898959892486e+002	(-2.00001097252734e+001dB,1.79991401758198e+002°)
1.22179966016487e+002	(-2.00001097253046e+001dB,1.79991381937204e+002°)
1.22461619926504e+002	(-2.00001097253361e+001dB,1.79991362070517e+002°)
1.22743923115840e+002	(-2.00001097253677e+001dB,1.79991342158033e+002°)
1.23026877081238e+002	(-2.00001097253994e+001dB,1.79991322199646e+002°)
1.23310483322890e+002	(-2.00001097254312e+001dB,1.79991302195250e+002°)
1.23594743344450e+002	(-2.00001097254632e+001dB,1.79991282144739e+002°)
1.23879658653036e+002	(-2.00001097254954e+001dB,1.79991262048007e+002°)
1.24165230759240e+002	(-2.00001097255277e+001dB,1.79991241904947e+002°)
1.24451461177138e+002	(-2.00001097255602e+001dB,1.79991221715453e+002°)
1.24738351424294e+002	(-2.00001097255928e+001dB,1.79991201479417e+002°)
1.25025903021771e+002	(-2.00001097256256e+001dB,1.79991181196732e+002°)
1.25314117494141e+002	(-2.00001097256585e+001dB,1.79991160867291e+002°)
1.25602996369487e+002	(-2.00001097256915e+001dB,1.79991140490986e+002°)
1.25892541179416e+002	(-2.00001097257247e+001dB,1.79991120067708e+002°)
1.26182753459066e+002	(-2.00001097257581e+001dB,1.79991099597350e+002°)
1.26473634747114e+002	(-2.00001097257916e+001dB,1.79991079079803e+002°)
1.26765186585784e+002	(-2.00001097258253e+001dB,1.79991058514958e+002°)
1.27057410520853e+002	(-2.00001097258591e+001dB,1.79991037902706e+002°)
1.27350308101665e+002	(-2.00001097258931e+001dB,1.79991017242938e+002°)
1.27643880881134e+002	(-2.00001097259273e+001dB,1.79990996535544e+002°)
1.27938130415752e+002	(-2.00001097259616e+001dB,1.79990975780415e+002°)
1.28233058265601e+002	(-2.00001097259960e+001dB,1.79990954977440e+002°)
1.28528665994361e+002	(-2.00001097260307e+001dB,1.79990934126510e+002°)
1.28824955169313e+002	(-2.00001097260654e+001dB,1.79990913227513e+002°)
1.29121927361353e+002	(-2.00001097261004e+001dB,1.79990892280339e+002°)
1.29419584144998e+002	(-2.00001097261355e+001dB,1.79990871284876e+002°)
1.29717927098395e+002	(-2.00001097261708e+001dB,1.79990850241014e+002°)
1.30016957803328e+002	(-2.00001097262062e+001dB,1.79990829148642e+002°)
1.30316677845229e+002	(-2.00001097262418e+001dB,1.79990808007646e+002°)
1.30617088813183e+002	(-2.00001097262775e+001dB,1.79990786817915e+002°)
1.30918192299940e+002	(-2.00001097263134e+001dB,1.79990765579336e+002°)
1.31219989901920e+002	(-2.00001097263495e+001dB,1.79990744291798e+002°)
1.31522483219223e+002	(-2.00001097263858e+001dB,1.79990722955187e+002°)
1.31825673855640e+002	(-2.00001097264222e+001dB,1.79990701569390e+002°)
1.32129563418657e+002	(-2.00001097264588e+001dB,1.79990680134293e+002°)
1.32434153519466e+002	(-2.00001097264955e+001dB,1.79990658649784e+002°)
1.32739445772973e+002	(-2.00001097265325e+001dB,1.79990637115748e+002°)
1.33045441797808e+002	(-2.00001097265696e+001dB,1.79990615532070e+002°)
1.33352143216332e+002	(-2.00001097266068e+001dB,1.79990593898637e+002°)
1.33659551654643e+002	(-2.00001097266443e+001dB,1.79990572215334e+002°)
1.33967668742593e+002	(-2.00001097266819e+001dB,1.79990550482046e+002°)
1.34276496113786e+002	(-2.00001097267197e+001dB,1.79990528698657e+002°)
1.34586035405594e+002	(-2.00001097267576e+001dB,1.79990506865052e+002°)
1.34896288259165e+002	(-2.00001097267958e+001dB,1.79990484981116e+002°)
1.35207256319427e+002	(-2.00001097268341e+001dB,1.79990463046732e+002°)
1.35518941235103e+002	(-2.00001097268726e+001dB,1.79990441061784e+002°)
1.35831344658715e+002	(-2.00001097269112e+001dB,1.79990419026156e+002°)
1.36144468246594e+002	(-2.00001097269501e+001dB,1.79990396939730e+002°)
1.36458313658892e+002	(-2.00001097269891e+001dB,1.79990374802389e+002°)
1.36772882559584e+002	(-2.00001097270283e+001dB,1.79990352614017e+002°)
1.37088176616484e+002	(-2.00001097270677e+001dB,1.79990330374496e+002°)
1.37404197501251e+002	(-2.00001097271073e+001dB,1.79990308083707e+002°)
1.37720946889394e+002	(-2.00001097271470e+001dB,1.79990285741532e+002°)
1.38038426460288e+002	(-2.00001097271870e+001dB,1.79990263347853e+002°)
1.38356637897177e+002	(-2.00001097272271e+001dB,1.79990240902552e+002°)
1.38675582887188e+002	(-2.00001097272674e+001dB,1.79990218405509e+002°)
1.38995263121334e+002	(-2.00001097273079e+001dB,1.79990195856604e+002°)
1.39315680294529e+002	(-2.00001097273486e+001dB,1.79990173255720e+002°)
1.39636836105593e+002	(-2.00001097273894e+001dB,1.79990150602734e+002°)
1.39958732257261e+002	(-2.00001097274305e+001dB,1.79990127897528e+002°)
1.40281370456195e+002	(-2.00001097274717e+001dB,1.79990105139982e+002°)
1.40604752412990e+002	(-2.00001097275131e+001dB,1.79990082329974e+002°)
1.40928879842186e+002	(-2.00001097275548e+001dB,1.79990059467383e+002°)
1.41253754462274e+002	(-2.00001097275966e+001dB,1.79990036552088e+002°)
1.41579377995707e+002	(-2.00001097276386e+001dB,1.79990013583969e+002°)
1.41905752168908e+002	(-2.00001097276808e+001dB,1.79989990562902e+002°)
1.42232878712281e+002	(-2.00001097277232e+001dB,1.79989967488766e+002°)
1.42560759360218e+002	(-2.00001097277658e+001dB,1.79989944361439e+002°)
1.42889395851109e+002	(-2.00001097278086e+001dB,1.79989921180798e+002°)
1.43218789927353e+002	(-2.00001097278516e+001dB,1.79989897946720e+002°)
1.43548943335365e+002	(-2.00001097278948e+001dB,1.79989874659082e+002°)
1.43879857825583e+002	(-2.00001097279381e+001dB,1.79989851317760e+002°)
1.44211535152486e+002	(-2.00001097279817e+001dB,1.79989827922632e+002°)
1.44543977074592e+002	(-2.00001097280255e+001dB,1.79989804473571e+002°)
1.44877185354475e+002	(-2.00001097280695e+001dB,1.79989780970455e+002°)
1.45211161758773e+002	(-2.00001097281137e+001dB,1.79989757413159e+002°)
1.45545908058195e+002	(-2.00001097281581e+001dB,1.79989733801558e+002°)
1.45881426027534e+002	(-2.00001097282027e+001dB,1.79989710135526e+002°)
